"id" "switch" "arsenic" "dist" "assoc" "educ"
"85" 1 0.05 13.1199998855591 1 10
"86" 0 0.05 2.28699994087219 1 4
"87" 0 0.11 5.18900012969971 0 9
"88" 0 0.05 7.39499998092651 0 10
"89" 1 0.12 4.28399991989136 0 10
"90" 0 0.13 8.0019998550415 0 5
"91" 0 0.08 10.3669996261597 1 0
"92" 0 0.05 20.4099998474121 1 10
"93" 1 4.55 17.9820003509521 0 7
"94" 0 3.91 11.1470003128052 1 6
"95" 0 0.32 35.0449981689453 0 5
"96" 1 0.89 39.9770011901855 1 5
"97" 0 1 69.1309967041016 0 0
"98" 1 0.95 37.6529998779297 1 0
"99" 0 0.05 21.8929996490479 1 4
"100" 1 3.55 32.0709991455078 1 7
"101" 1 4.52 19.0839996337891 0 5
"102" 0 0.05 12.4309997558594 1 8
"103" 0 0.05 25.1480007171631 1 0
"104" 1 4.76 23.9120006561279 0 0
"105" 1 1.99 28.5599994659424 1 5
"106" 0 2.85 21.9650001525879 0 0
"107" 1 8.04 79.9629974365234 0 5
"108" 0 0.81 91.0070037841797 0 0
"109" 0 0.25 7.37099981307983 1 5
"110" 1 2.85 26.5130004882812 1 8
"111" 1 2.18 23.3239994049072 0 3
"112" 1 4.23 31.5919990539551 0 5
"113" 0 0.05 32.064998626709 1 10
"114" 1 2.47 27.2770004272461 1 10
"115" 0 0.08 28.5499992370605 1 10
"116" 0 0.25 43.9169998168945 1 7
"117" 0 0.05 33.7529983520508 0 12
"118" 0 0.05 29.7840003967285 0 0
"119" 1 1.92 31.3239994049072 1 0
"120" 1 1.63 38.8489990234375 0 8
"121" 1 1.63 20.9060001373291 1 4
"122" 1 5.45 9.12600040435791 1 0
"123" 0 0.05 14.5129995346069 1 7
"124" 0 1.57 19.3819999694824 0 8
"125" 1 1.94 12.4610004425049 0 8
"126" 0 0.47 19.4379997253418 1 10
"127" 0 0.14 14.4399995803833 1 6
"128" 0 0.21 19.2210006713867 0 10
"129" 0 0.05 19.181999206543 0 0
"130" 0 0.19 13.3559999465942 0 8
"131" 0 0.05 8.52700042724609 0 12
"132" 0 0.05 13.6120004653931 0 10
"133" 0 0.09 18.8819999694824 0 11
"134" 0 0.05 20.2630004882812 1 0
"135" 0 0.05 23.8780002593994 1 10
"136" 1 0.05 21.2250003814697 1 0
"137" 1 0.18 3.08200001716614 0 0
"138" 1 0.3 9.44200038909912 0 0
"139" 0 0.05 30.9909992218018 0 10
"140" NA 0.05 0 NA NA
"141" 0 0.17 16.1639995574951 1 0
"142" 0 0.26 20.2250003814697 1 5
"143" 0 0.24 11.3509998321533 0 3
"144" 0 0.23 1.92200005054474 1 2
"145" 0 0.08 26.3190002441406 1 0
"146" 1 0.06 14.2370004653931 1 0
"147" 0 0.1 7.0310001373291 0 9
"148" 1 0.05 10.0270004272461 1 0
"149" 0 0.09 12.164999961853 0 4
"150" 0 0.34 23.4489994049072 0 5
"151" 0 0.05 21.7089996337891 0 5
"152" 0 0.05 11.6820001602173 1 0
"153" 0 0.17 16.6469993591309 1 0
"154" 0 0.28 8.48099994659424 0 0
"155" 1 0.15 16.6550006866455 0 7
"156" 1 0.12 17.4120006561279 1 6
"157" 0 0.05 15.4250001907349 1 0
"158" 1 0.15 12.0719995498657 0 6
"159" 1 0.09 12.5979995727539 1 5
"160" 1 0.24 14.4270000457764 1 10
"161" 0 0.05 26.2310009002686 0 8
"162" 1 0.05 31.9729995727539 0 14
"163" 0 0.24 33.5950012207031 1 0
"164" 0 0.05 22.9580001831055 1 8
"165" 1 0.27 5.78599977493286 0 14
"166" 1 0.34 23.0629997253418 0 14
"167" 0 0.14 13.5229997634888 0 3
"168" 0 0.29 8.87100028991699 1 0
"169" 0 0.46 15.3299999237061 1 0
"170" 0 0.18 6.52799987792969 0 0
"171" 0 0.11 16.9060001373291 1 5
"172" 1 1.58 14.9370002746582 0 0
"173" 0 0.39 17.7430000305176 0 5
"174" 1 0.67 13.2189998626709 1 5
"175" 0 0.5 5.88399982452393 1 5
"176" 1 1.4 6.82999992370605 0 5
"177" 1 0.19 19.2709999084473 0 10
"178" 0 0.39 17.9850006103516 0 5
"179" 0 0.29 19.5629997253418 1 1
"180" 1 0.32 12.2779998779297 1 1
"181" 0 0.5 32.5589981079102 0 0
"182" 0 1.18 30.4060001373291 1 3
"183" 0 0.77 18.5510005950928 1 5
"184" 0 0.77 24.8290004730225 0 0
"185" 0 0.48 32.3219985961914 0 3
"186" 1 0.64 39.8819999694824 0 3
"187" 1 0.48 26.8700008392334 1 0
"188" 1 0.73 17.8110008239746 0 0
"189" 1 3.57 12.3009996414185 0 12
"190" 0 0.23 21.6529998779297 0 12
"191" 0 0.14 10.9010000228882 0 0
"192" 1 1.44 28.6709995269775 0 12
"193" 0 0.43 12.1999998092651 0 12
"194" 0 0.05 16.492000579834 0 5
"195" 0 0.05 12.753999710083 1 5
"196" 0 0.05 11.3109998703003 0 5
"197" 0 0.77 20.871000289917 1 5
"198" 1 0.06 2.60800004005432 0 5
"199" 1 0.43 7.97200012207031 0 5
"200" 1 0.77 20.1200008392334 1 0
"201" 0 0.73 13.4940004348755 1 5
"202" 0 0.05 9.91600036621094 1 5
"203" 0 0.34 7.29400014877319 1 0
"204" 0 0.09 1.16999995708466 0 9
"205" 0 0.05 7.26800012588501 0 5
"206" 1 1.9 19.1919994354248 0 0
"207" 0 0.72 28.6459999084473 0 8
"208" 0 0.88 16.1660003662109 0 0
"209" 0 1.04 27.42799949646 0 5
"210" 0 0.05 18.7299995422363 0 8
"211" 0 0.24 9.4980001449585 1 6
"212" 0 0.24 13.5329999923706 0 0
"213" 0 0.24 21.0729999542236 0 0
"214" 0 0.05 11.6639995574951 0 10
"215" 0 0.05 17.6000003814697 0 5
"216" 1 0.05 18.2250003814697 1 0
"217" 1 0.93 21.25 0 5
"218" 0 1.21 15.83899974823 1 0
"219" 1 1.44 14.4180002212524 1 5
"220" 0 0.48 17.2600002288818 1 0
"221" 0 0.5 22.2730007171631 1 0
"222" 1 0.47 17.3910007476807 0 5
"223" 0 0.64 29.2779998779297 1 14
"224" 0 0.8 43.9440002441406 1 14
"225" 1 1.93 20.2299995422363 0 0
"226" 0 0.15 36.9519996643066 0 0
"227" 0 0.56 50.0919990539551 0 5
"228" 1 0.84 57.1049995422363 1 0
"229" 0 1.32 66.879997253418 0 5
"230" 0 0.52 69.4820022583008 0 3
"231" 0 1.19 48.7080001831055 1 5
"232" 0 1.18 22.6359996795654 1 12
"233" 0 1.26 10.1230001449585 0 5
"234" 0 0.88 42.8279991149902 0 8
"235" 0 3.16 21.0890007019043 0 5
"236" 0 2.12 47.5340003967285 0 5
"237" 1 0.76 15.7119998931885 0 5
"238" 1 0.5 13.1990003585815 0 5
"239" 0 0.56 12.1850004196167 0 5
"240" 0 0.41 12.7700004577637 0 5
"241" 0 0.29 7.80900001525879 0 10
"242" 0 0.62 23.5590000152588 0 0
"243" 1 0.11 28.1919994354248 0 5
"244" 1 1.03 1.84800004959106 0 5
"245" 1 0.31 23.326000213623 0 10
"246" 0 0.78 90.9209976196289 0 5
"247" 0 1.02 93.8280029296875 1 5
"248" 0 0.65 82.1060028076172 1 9
"249" 1 2.29 46.9560012817383 1 3
"250" 0 0.05 45.060001373291 1 3
"251" 1 1.6 24.2099990844727 1 4
"252" 0 0.35 5.59200000762939 0 10
"253" 1 0.5 14.9320001602173 0 5
"254" 1 0.82 43.2900009155273 0 5
"255" 1 1.44 25.1469993591309 0 10
"256" 0 0.16 37.8219985961914 0 10
"257" 0 0.35 10.5710000991821 0 0
"258" 0 0.22 23.6110000610352 1 5
"259" 1 0.97 14.6040000915527 0 0
"260" 0 0.1 20.1520004272461 1 8
"261" 0 0.89 1.40100002288818 0 8
"262" 1 1.39 8.21000003814697 0 12
"263" 1 0.83 18.8680000305176 0 0
"264" 0 0.42 20.1299991607666 0 0
"265" 1 0.6 32.5149993896484 0 5
"266" 1 0.57 23.4009990692139 0 0
"267" 0 0.26 26.2180004119873 0 9
"268" 1 1.47 18.5319995880127 1 9
"269" 1 0.29 4.83500003814697 1 5
"270" 1 1.11 36.2869987487793 0 10
"271" 1 2.38 40.4980010986328 0 12
"272" 0 0.1 30.1809997558594 0 5
"273" 0 3.97 90.5709991455078 0 0
"274" 1 3.51 115.157997131348 1 3
"275" 0 3.69 112.762001037598 1 0
"276" 1 2.95 93.4309997558594 1 0
"277" 0 3.21 97.2170028686523 0 0
"278" 1 3.65 88.3450012207031 1 0
"279" 1 4.42 41.1040000915527 1 5
"280" 1 4.12 46.2400016784668 0 3
"281" 1 3.62 65.3539962768555 1 3
"282" 1 3.8 43.7350006103516 1 2
"283" 1 4.46 61.5709991455078 0 5
"284" 1 4.03 62.9900016784668 1 2
"285" 1 4.04 78.4150009155273 1 0
"286" 1 3.32 63.5019989013672 0 5
"287" 0 2.07 69.2689971923828 1 5
"288" 1 1.43 57.9290008544922 1 6
"289" 1 2.3 85.3870010375977 0 5
"290" 1 1.41 110.609001159668 0 5
"291" 1 2.34 111.48999786377 1 0
"292" 1 1.5 176.197006225586 0 0
"293" 0 1.44 172.108001708984 0 0
"294" 0 1.54 177.802993774414 0 0
"295" 1 1.35 22.6709995269775 1 0
"296" 0 0.05 6.69099998474121 0 0
"297" 1 0.05 3.25200009346008 1 0
"298" 1 0.54 27.8810005187988 1 5
"299" 1 1.17 19.2600002288818 0 8
"300" 1 0.05 30.431999206543 1 0
"301" 1 0.11 18.0279998779297 1 9
"302" 0 0.05 6.68300008773804 0 5
"303" 0 0.32 29.6070003509521 1 5
"304" 0 0.05 21.6200008392334 0 5
"305" 0 0.05 0.151999995112419 0 5
"306" 0 0.16 13.4440002441406 0 9
"307" 1 0.05 20.9680004119873 1 10
"308" 0 0.05 20.9699993133545 0 8
"309" 0 0.05 9.75500011444092 0 0
"310" 1 0.05 6.44299983978271 1 7
"311" 0 0.25 15.1090002059937 0 0
"312" 0 0.05 20.2280006408691 0 0
"313" 0 0.23 12.7040004730225 0 0
"314" 0 0.36 52.9090003967285 0 0
"315" 0 0.45 69.9550018310547 0 0
"316" 0 1.02 24.5 0 0
"317" 1 1.11 6.63299989700317 0 5
"318" 0 0.49 16.0240001678467 0 0
"319" 0 0.21 15.6370000839233 1 0
"320" 0 0.37 20.5359992980957 0 5
"321" 0 0.52 7.04099988937378 0 10
"322" 0 0.56 30.3139991760254 1 8
"323" 0 0.34 14.2430000305176 1 6
"324" 0 0.29 24.3910007476807 1 6
"325" 0 0.27 21.2099990844727 0 5
"326" 0 0.29 22.261999130249 1 5
"327" 0 0.17 38.1889991760254 0 10
"328" 0 0.44 11.5030002593994 0 0
"329" 0 0.05 28.8099994659424 0 10
"330" 1 0.05 33.1080017089844 0 10
"331" 1 1.69 29.9220008850098 0 10
"332" 0 0.47 20.0200004577637 0 0
"333" 1 0.61 21.9790000915527 1 0
"334" 0 0.42 12.4899997711182 0 9
"335" 1 2.17 10.4580001831055 1 5
"336" 0 0.48 21.1469993591309 0 0
"337" 1 0.77 2.02900004386902 0 0
"338" 0 0.61 74.9990005493164 0 5
"339" 1 0.96 81.9710006713867 1 3
"340" 1 0.94 92.1760025024414 1 5
"341" 1 0.93 106.608001708984 1 3
"342" 0 1.02 103.060997009277 1 4
"343" 0 1.24 86.6050033569336 0 0
"344" 0 1.42 110.561996459961 0 5
"345" 0 1.31 122.325996398926 0 5
"346" 0 0.83 122.018997192383 0 0
"347" 0 2.64 57.632999420166 1 2
"348" 0 1.84 39.5960006713867 0 5
"349" 0 2.48 39.515998840332 0 0
"350" 0 1.27 21.5550003051758 0 10
"351" 1 0.25 21.0610008239746 1 0
"352" 0 0.69 51.7480010986328 0 0
"353" 0 0.05 28.8020000457764 0 0
"354" 1 0.61 13.5209999084473 1 5
"355" 0 0.5 7.13600015640259 1 0
"356" 1 0.2 20.3959999084473 0 8
"357" 0 0.89 31.4540004730225 0 5
"358" 0 0.85 17.5480003356934 0 12
"359" 0 0.49 14.835000038147 0 5
"360" 0 0.29 33.742000579834 0 9
"361" 1 0.16 82.8320007324219 0 0
"362" 1 0.99 97.0479965209961 1 5
"363" 1 0.75 89.4309997558594 0 5
"364" 0 0.81 19.2639999389648 1 0
"365" 0 1.81 53.3629989624023 1 9
"366" 0 1.25 30.128999710083 1 0
"367" 1 1.12 27.136999130249 1 9
"368" 1 1.03 14.5340003967285 1 0
"369" 1 0.71 28.7119998931885 1 0
"370" 1 2.16 20.6399993896484 1 0
"371" 1 1.7 36.75 0 5
"372" 1 1.84 49.6800003051758 0 5
"373" 0 1.26 102.710998535156 1 0
"374" 0 2.53 108.615997314453 1 0
"375" 0 2.95 96.4359970092773 0 0
"376" 0 0.62 100.861000061035 0 0
"377" 1 3.01 137.899993896484 0 10
"378" 0 2.56 124.670997619629 1 5
"379" 1 1.97 151.065994262695 0 10
"380" 0 1.2 121.575996398926 1 5
"381" 0 0.89 32.8499984741211 0 0
"382" 0 0.22 11.246000289917 0 0
"383" 1 0.08 5.17899990081787 0 0
"384" 0 0.52 8.54699993133545 0 10
"385" 1 2.49 27.9740009307861 0 4
"386" 1 1.25 29.4580001831055 0 0
"387" 0 1.13 19.6599998474121 1 5
"388" 0 0.05 5.91099977493286 0 0
"389" 0 0.05 19.0739994049072 1 5
"390" 0 0.35 32.1279983520508 0 14
"391" 1 1.13 47.7089996337891 0 12
"392" 1 0.52 71.5230026245117 0 10
"393" 1 0.88 67.1760025024414 1 10
"394" 0 3.48 69.9670028686523 0 5
"395" 0 0.56 83.5719985961914 0 10
"396" 0 0.42 90.6210021972656 1 5
"397" 1 1.77 71.4250030517578 0 0
"398" 0 1.35 71.4250030517578 0 5
"399" 1 1.67 71.4250030517578 0 0
"400" 0 1.92 71.4250030517578 0 10
"401" 0 2.41 190.287994384766 0 7
"402" 0 2.36 186.304992675781 0 5
"403" 1 2.31 170.929000854492 0 0
"404" 1 2.55 140.820999145508 0 10
"405" 0 2.41 218.300003051758 0 0
"406" 1 1.46 53.5439987182617 0 14
"407" 1 2 63.6020011901855 0 0
"408" 1 1.32 67.4929962158203 0 5
"409" 1 1.75 66.7360000610352 0 5
"410" 1 1.84 47.9959983825684 0 0
"411" 0 1.72 54.4160003662109 0 5
"412" 0 1.77 94.7229995727539 0 5
"413" 1 2.77 70.7740020751953 0 7
"414" 1 0.73 11.2489995956421 1 0
"415" 1 0.69 4.88000011444092 1 0
"416" 0 0.5 18.9379997253418 1 5
"417" 0 0.58 18.1429996490479 1 5
"418" 1 0.52 15.7790002822876 1 12
"419" 1 0.62 0.386999994516373 1 5
"420" 0 0.48 12.9420003890991 1 5
"421" 1 3.33 14.9650001525879 1 5
"422" 0 0.33 14.8420000076294 1 5
"423" 1 0.31 12.6630001068115 1 0
"424" 0 0.39 6.98899984359741 1 0
"425" 0 0.44 10.66100025177 1 5
"426" 1 0.42 18.1909999847412 0 0
"427" 0 0.33 10.4490003585815 1 0
"428" 0 0.51 24.6770000457764 0 0
"429" 1 1.02 20.5790004730225 1 0
"430" 0 0.4 12.8830003738403 0 0
"431" 0 1.26 17.5069999694824 1 0
"432" 0 0.41 6.36999988555908 0 0
"433" 0 0.35 9.01500034332275 0 0
"434" 1 0.6 22.8819999694824 0 5
"435" 1 0.59 6.7960000038147 0 5
"436" 1 0.44 25.7569999694824 0 0
"437" 0 0.22 3.54299998283386 1 10
"438" 1 0.72 21.5709991455078 0 0
"439" 1 0.66 8.99600028991699 1 0
"440" 1 0.74 2.40899991989136 1 0
"441" 1 0.71 9.30599975585938 1 0
"442" 1 0.86 21.996000289917 1 7
"443" 0 0.28 22.5629997253418 0 5
"444" 0 0.51 14.0769996643066 0 10
"445" 1 0.05 13.331000328064 0 0
"446" 1 0.63 4.09800004959106 1 5
"447" 0 0.18 7.33799982070923 1 5
"448" 0 0.4 31.746000289917 1 5
"449" 0 0.09 14.9530000686646 0 5
"450" 1 0.43 26.4090003967285 0 10
"451" 1 0.58 29.6490001678467 1 5
"452" 1 0.31 22.0709991455078 1 0
"453" 0 0.55 11.3769998550415 0 5
"454" 1 1.26 29.5410003662109 0 0
"455" 0 0.52 33.367000579834 0 10
"456" 0 0.83 26.7150001525879 0 10
"457" 0 0.16 21.2280006408691 1 3
"458" 0 0.05 20.2740001678467 1 3
"459" 1 0.13 13.5880002975464 0 3
"460" 0 0.05 20.0909996032715 0 5
"461" 0 0.27 17.6340007781982 1 4
"462" 1 0.2 31.4720001220703 0 3
"463" 1 0.33 22.6529998779297 1 0
"464" 0 0.57 21.1180000305176 0 5
"465" 0 0.24 10.9040002822876 1 0
"466" 0 0.32 18.7639999389648 0 0
"467" 0 0.37 22.363000869751 0 5
"468" 1 0.48 26.5370006561279 1 0
"469" 0 0.53 71.4820022583008 0 0
"470" 0 0.67 71.6370010375977 1 0
"471" 0 0.19 8.72500038146973 1 5
"472" 0 0.27 12.4329996109009 1 10
"473" 1 3.5 23.8309993743896 0 5
"474" 0 0.12 6.51300001144409 0 6
"475" 0 0.39 16.7450008392334 0 10
"476" 1 2.8 5.72800016403198 1 12
"477" 0 0.29 19.0550003051758 1 8
"478" 0 0.27 8.82999992370605 1 0
"479" 1 0.22 19.0839996337891 1 4
"480" 0 0.12 15.5609998703003 1 6
"481" 1 0.48 21.0809993743896 0 5
"482" 1 0.77 15.8149995803833 1 5
"483" 1 0.74 32.5870018005371 1 5
"484" 1 0.77 40.1310005187988 0 10
"485" 1 1.58 49.6380004882812 1 2
"486" 1 0.8 24.886999130249 0 10
"487" 0 0.55 47.6710014343262 1 0
"488" 1 0.9 56.5909996032715 1 10
"489" 0 0.52 74.1169967651367 0 8
"490" 1 2.59 81.8489990234375 1 0
"491" 1 1.27 86.0940017700195 1 8
"492" 0 0.97 71.8059997558594 0 14
"493" 0 1.47 61.7449989318848 1 4
"494" 0 1.03 25.0450000762939 0 12
"495" 1 0.2 34.4850006103516 0 10
"496" 0 0.17 27.0499992370605 0 7
"497" 0 0.05 12.3900003433228 1 2
"498" 0 0.93 19.9290008544922 1 2
"499" 0 0.19 34.4710006713867 0 0
"500" 0 0.45 53.310001373291 1 5
"501" 0 0.79 50.1189994812012 0 10
"502" 0 0.21 24.1900005340576 1 5
"503" 0 0.66 53.8160018920898 1 5
"504" 0 0.05 44.9910011291504 0 0
"505" 0 0.85 33.5029983520508 1 10
"506" 0 0.41 37.8800010681152 0 10
"507" 0 0.93 58.3559989929199 0 5
"508" 0 1.42 17.9540004730225 0 12
"509" 0 0.75 28.0270004272461 0 4
"510" 0 1.46 31.6679992675781 0 8
"511" 0 1.16 34.4370002746582 0 5
"512" 1 1.6 57.8600006103516 0 14
"513" 0 1.17 50.9519996643066 0 15
"514" 1 0.83 60.7529983520508 1 0
"515" 0 0.36 26.1630001068115 0 5
"516" 0 0.29 6.00699996948242 1 8
"517" 1 1.24 74.8769989013672 0 5
"518" 1 3.08 57.9599990844727 0 5
"519" 1 1.01 20.8430004119873 0 5
"520" 1 3.59 61.6240005493164 0 0
"521" 1 3.01 83.3209991455078 0 5
"522" 1 1.96 76.0660018920898 0 7
"523" 1 1.67 105.866996765137 0 5
"524" 0 1.69 112.675003051758 0 0
"525" 0 2.71 197.134994506836 1 5
"526" 0 1.27 304.096984863281 1 5
"527" 0 1.43 339.531005859375 0 4
"528" 0 1 70.2710037231445 0 5
"529" 0 0.52 92.7440032958984 0 5
"530" 0 0.65 55.9210014343262 0 9
"531" 0 0.7 50.8289985656738 1 0
"532" 0 0.51 37.601001739502 0 0
"533" 0 1.02 17.9309997558594 0 0
"534" 1 2.05 11.8170003890991 0 5
"535" 0 0.41 12.8900003433228 1 7
"536" 1 0.77 18.7970008850098 1 0
"537" 0 0.12 0.739000022411346 0 9
"538" 0 0.33 13.3900003433228 0 4
"539" 1 0.68 33.6860008239746 0 5
"540" 0 0.05 16.0930004119873 0 5
"541" 0 0.05 27.0130004882812 0 10
"542" 1 1.2 17.5750007629395 0 5
"543" 0 0.05 13.6590003967285 0 5
"544" 0 0.31 9.23400020599365 0 0
"545" 1 0.62 22.443000793457 0 5
"546" 0 0.24 5.42799997329712 0 0
"547" 0 0.15 4.9520001411438 0 14
"548" 1 1.31 27.0259990692139 1 5
"549" 0 0.24 13.8699998855591 0 14
"550" 0 0.05 12.3050003051758 0 14
"551" 1 0.28 1.23199999332428 0 14
"552" 1 1.79 17.1399993896484 0 0
"553" 0 0.21 2.03800010681152 1 0
"554" 1 0.56 25.4540004730225 0 0
"555" 1 1.18 67.4010009765625 1 6
"556" 1 0.77 45.576000213623 0 5
"557" 1 0.66 52.7610015869141 0 0
"558" 1 1.1 30.5410003662109 0 0
"559" 1 0.65 39.7639999389648 0 0
"560" 1 0.82 16.3990001678467 1 5
"561" 1 2.22 29.3190002441406 0 5
"562" 1 2.82 36.0610008239746 1 0
"563" 0 0.05 3.70700001716614 0 8
"564" 0 0.05 15.0419998168945 1 0
"565" 0 0.64 22.6070003509521 0 6
"566" 1 1.26 27.1410007476807 1 6
"567" 1 1.53 9.44699954986572 1 5
"568" 0 0.05 7.50299978256226 0 8
"569" 0 0.05 9.77999973297119 0 12
"570" 0 0.05 6.2810001373291 1 8
"571" 0 0.05 6.18699979782104 1 14
"572" 0 0.05 3.2279999256134 1 7
"573" 0 0.05 8.16600036621094 0 8
"574" 0 0.05 4.16400003433228 1 8
"575" 0 0.05 3.79299998283386 0 8
"576" 0 0.05 7.15799999237061 1 8
"577" 1 1.8 16.69700050354 0 0
"578" 1 0.1 42.5870018005371 1 7
"579" 1 1.24 50.4770011901855 1 8
"580" 0 0.93 9.22399997711182 0 5
"581" 0 0.05 5.02799987792969 1 5
"582" 0 0.05 19.8509998321533 0 5
"583" 0 0.05 4.51300001144409 0 5
"584" 0 0.05 18.2549991607666 1 5
"585" 1 0.54 6.93100023269653 1 6
"586" 1 0.82 27.2919998168945 0 5
"587" 0 0.05 26.1180000305176 0 5
"588" 1 0.43 2.69400000572205 1 8
"589" 1 0.61 25.2950000762939 0 5
"590" 0 0.71 52.7120018005371 1 5
"591" 1 0.81 51.7290000915527 0 4
"592" 1 0.65 68.5719985961914 1 4
"593" 1 0.49 2.82200002670288 0 0
"594" 1 0.68 23.6790008544922 1 0
"595" 0 0.05 11.9029998779297 0 6
"596" 1 0.2 8.70699977874756 0 5
"597" 1 1.26 45.2019996643066 1 9
"598" 1 1.4 32.4710006713867 1 9
"599" 0 0.05 2.64199995994568 0 0
"600" 0 0.05 15.4390001296997 0 10
"601" 0 0.05 22.632999420166 0 9
"602" 0 0.05 18.8460006713867 0 10
"603" 0 0.05 7.42799997329712 1 0
"604" 1 0.95 12.3610000610352 0 0
"605" 0 0.05 6.63299989700317 1 8
"606" 1 0.05 8.5290002822876 0 5
"607" 0 0.05 18.3330001831055 0 5
"608" 0 0.05 10.371000289917 0 0
"609" 1 0.92 9.16899967193604 0 5
"610" 1 1.25 16.371000289917 1 0
"611" 1 1.16 19.4169998168945 0 5
"612" 0 0.05 8.1569995880127 0 5
"613" 0 0.39 2.58800005912781 0 5
"614" 1 1.91 20.8490009307861 0 14
"615" 0 0.05 15.3030004501343 0 10
"616" 0 0.05 2.22300004959106 0 10
"617" 1 1.04 54.0169982910156 1 5
"618" 1 0.76 57.7929992675781 1 5
"619" 0 0.05 53.2130012512207 1 5
"620" 0 0.05 5.98799991607666 1 5
"621" 0 0.05 4.15899991989136 0 0
"622" 0 0.05 10.5150003433228 0 4
"623" 0 0.05 9.60099983215332 0 5
"624" 0 0.05 1.98500001430511 1 5
"625" 0 0.05 4.89699983596802 0 0
"626" 0 0.05 11.4359998703003 1 0
"627" 0 0.05 5.30299997329712 0 0
"628" 1 0.05 6.90999984741211 0 5
"629" 0 0.05 3.17899990081787 0 0
"630" 0 0.05 32.515998840332 0 5
"631" 0 0.05 18.0970001220703 0 5
"632" 0 0.05 1.69900000095367 0 0
"633" 0 0.05 13.3039999008179 0 0
"634" 0 0.05 5.81300020217896 1 5
"635" 0 0.05 15.0920000076294 1 0
"636" 0 0.05 8.8120002746582 1 2
"637" 0 0.05 10.1199998855591 0 0
"638" 0 0.05 6.62099981307983 1 5
"639" 0 0.05 11 0 0
